,expert_name,startup_name,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,What is the level of sustainability of the competitive advantage in the next 24 months?,Are the business milestones for the next 24 months exciting?,Are the business metrics clearly defined,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,What would you say is your ‘Unfair Advantage’ that would add competitive advantage vs anyone who could start the same venture ?,How would you rate the likability & connect with the Founder and his authenticity?,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Relevant Industry/market background of team,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness,Additional Comments
1,Madhulika Sachdeva,Waitrr,1.0,0.75,0.5,0.25,0.5,0.0,0.5,1,1,0.75,0.75,0.5,0.5,0.81245,1.0,0.75,0.75,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.998
2,Madhulika Sachdeva,BYKidO,0.5,0.5,0.25,0.25,0.5,1.0,0.0,0,0,0.25,0.5,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65395
3,Madhulika Sachdeva,FINIZZ,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1,1,0.5,0.5,0.5,0.5,0.625,0.5,0.75,0.75,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.93125
4,Madhulika Sachdeva,Ayoslide,0.75,0.25,0.25,0.25,0.5,1.0,0.0,1,1,0.5,0.25,0.5,0.0,0.5,0.75,0.75,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.84205
5,Madhulika Sachdeva,University Living Accommodation Pvt Ltd,1.0,1.0,0.5,0.25,0.5,0.5,0.0,0,1,0.5,0.5,1.0,0.5,0.625,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.9841
6,Madhulika Sachdeva,GetFly,1.0,0.75,0.5,0.25,0.5,0.5,0.5,1,1,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.9600500000000001
7,Marc Nicollet,Into23,0.75,0.5,0.5,0.75,0.5,1.0,0.5,1,1,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.2249
8,Marc Nicollet,Stones2Milestones,1.0,0.75,1.0,0.75,1.0,0.0,1.0,1,1,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.901
9,Marc Nicollet,Alakazam,0.75,0.5,0.5,0.5,0.5,1.0,0.0,1,1,0.5,0.75,1.0,1.0,0.70025,0.75,0.75,0.75,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.749
10,Marc Nicollet,Woofyz Pet Services Pvt Ltd,0.75,0.5,0.75,0.5,0.5,0.0,0.5,1,0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.9411499999999999
