,startup_name,expert_name,How well can team execute their presented plans ?,How strong is the team composition in terms of its complementary skills and completeness of critical functions ?,How high did you sense was the passion of the founder/founding team ?,How high is the clarity and understanding of the team re: different customer personas ?,How unique & differentiated is the value proposition ?,How large is the absolute market opportunity for the venture ?,How impressive is the early stage traction and adoption of the product in the market ?,How high is the competitive index given direct competition & available alternatives for the proposed offering by the venture ?,How high is the strength of revenue projection in the business model ?,How lucrative does the exit potential for this business appears with either of the possible ways viz: potential trade sales or M&A with big Cos or IPO etc. ?,How high is trend momentum for the domain that startup is active in with its offerings ?,How relevant do the metrics and milestones of of this business model appear ?,How high is the defensibility of the solution from technology or any operating leverage point of view ?,How high is the business momentum and pipeline of business ?,How high are the chances for the business to extend beyond its currently served markets ?,How high is the competitive advantage for this business ?,How high are the chances for the business to extend beyond its currently served geographies ?,Overall Assessment
4,MIFON,Jawahar Kanjilal,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.25,1.0,0.25,0.75,0.0
5,101.careers,Jawahar Kanjilal,0.75,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.5
6,Ayoslide,Jawahar Kanjilal,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.5,0.5,1.0,0.5,0.75,1.0,0.75,1.0,1.0
7,Air Freight Bazaar,Jawahar Kanjilal,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,1.0,0.75,0.5,0.75,0.75,0.75,0.5
8,FINIZZ,Jawahar Kanjilal,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.75,1.0
9,CheQQme,Jawahar Kanjilal,0.75,1.0,1.0,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.0
10,Invento Robotics,Aalok Agrawal,0.75,0.75,1.0,0.75,0.75,0.5,0.75,0.25,0.25,0.75,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.5
11,Solarite Technologies Pte. Ltd.,Aalok Agrawal,0.5,0.5,1.0,0.75,0.75,1.0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5
12,Popular Chips,Aalok Agrawal,0.75,0.5,0.5,0.75,0.5,0.5,0.75,1.0,0.5,1.0,0.75,0.5,0.75,0.75,0.75,0.25,0.75,0.5
13,SuperFan.Ai,Aalok Agrawal,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.5,0.5,1.0,0.75,1.0,0.75,0.75,0.75,0.5,0.5,1.0
14,Kenyt.ai,Prashant,0.5,0.5,1.0,0.5,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5
15,Tesseract Global Technologies Pvt Ltd,Prashant,0.25,0.5,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.0,0.25,0.25,0.25,0.25,0.25,0.0
16,Sherpa Funds Technology,Jatin Rajput,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.0
17,Pingal Technologies Pvt Limited,Jatin Rajput,0.75,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.75,1.0,1.0,0.5,0.5,0.75,0.5,0.75,0.5
